# variant	source_manifest	source_variant	case_slug	queue	role	wave	patch_mode	lowerbody_radius	foot_radius	hold_contact_rew_scale	contact_hdmi_gain	contact_hdmi_sigma	contact_hdmi_ori_weight	contact_hdmi_ori_mode	robot_object_barrier_scale	robot_object_barrier_margin_m	robot_object_barrier_power	robot_object_score_cap_scale	robot_object_score_cap_threshold_m	contact_penetration_gate_enabled	contact_penetration_gate_margin_m	contact_penetration_gate_hold_contact	leg_object_penalty_scale	leg_object_penalty_margin_m	leg_object_penalty_geom_names	stability_penalty_scale	stability_penalty_threshold	local_frame_root_sigma	posture_contact_gate_enabled	posture_contact_gate_pelvis_z_m	posture_contact_gate_max_root_tilt_deg	posture_contact_gate_require_foot_support	posture_contact_gate_hold_contact	notes
E030_box025_p1_tinygeom_surface_gate	E018b	E018b_box025_p1_canonical_t02	box025_p1	local	target_geometry	A	lowerbody_proxy_tiny	0.0025	0.0005	1.0	5.0	0.25	0.3	near_field	4.0	0.02	2.0	0.0	-0.01	true	0.0	true	4.0	0.015	default	0.0	0.55	0.5	false	0.55	65.0	false	true	Tiny lower-body proxy plus surface/contact gate for near-pass box025 p1
E030_bucket007_p2_tinygeom_surface_gate	E018b	E018b_bucket007_p2_canonical_t02	bucket007_p2	remote_gpu0	target_geometry	A	lowerbody_proxy_tiny	0.0025	0.0005	1.0	5.0	0.25	0.3	near_field	4.0	0.02	2.0	0.0	-0.01	true	0.0	true	4.0	0.015	default	0.0	0.55	0.5	false	0.55	65.0	false	true	Tiny lower-body proxy plus surface/contact gate for retarget-questionable bucket007 p2
E030_box023_p1_surface_hold_gate	E022	E022_box023_p1_raw3_eval_axis	box023_p1	remote_gpu0	diagnostic_surface	A	none	0.0	0.0	2.0	8.0	0.20	0.3	near_field	4.0	0.02	2.0	0.0	-0.01	true	0.0	true	0.0	0.02		0.0	0.55	0.5	false	0.55	65.0	false	true	Surface/side-control diagnostic after E027 ruled out phase shift
E030_box023_p2_surface_hold_gate	E018b	E018b_box023_p2_canonical_t02	box023_p2	remote_gpu1	diagnostic_surface	A	none	0.0	0.0	2.0	8.0	0.20	0.3	near_field	4.0	0.02	2.0	0.0	-0.01	true	0.0	true	0.0	0.02		0.0	0.55	0.5	false	0.55	65.0	false	true	Surface/side-control diagnostic after E027 ruled out phase shift
E030_bucket005_s2_p1_leg_guard_surface	E018b	E018b_bucket005_s2_p1_canonical_t02	bucket005_s2_p1	remote_gpu1	shortcut_guard	A	none	0.0	0.0	1.0	5.0	0.30	0.0	multiply	8.0	0.02	2.0	0.0	-0.01	true	0.0	true	8.0	0.015	default	0.0	0.55	0.5	false	0.55	65.0	false	true	Shortcut guard: high contact only counts if penetration and leg artifact are controlled
E030_box025_p2_guard_surface	E018b	E018b_box025_p2_canonical_t02	box025_p2	local_after_main	clean_guard	A	none	0.0	0.0	0.0	5.0	0.30	0.3	near_field	2.0	0.015	2.0	0.0	-0.01	false	0.0	true	0.0	0.02		0.0	0.55	0.5	true	0.45	75.0	false	true	Clean strict-pass guard; surface controls must not collapse box025 p2
