# E119 upright-carry support-guard variants
# ordinal	variant	source_task	derived_task	person_idx	split	case_id	e109_case_id	object_key	ablation	mask_path	source_override	baseline_npz_path	e113_hold_npz_path	e113_hold_video_path	phase_scope	diagnostic_queue	holdout_reason
1	E119_box021_029_p2_corridor_ref_pose_bodyguard	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	local-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	corridor_ref_pose_bodyguard	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_upright_carry	lowerbody_aware_contact	
2	E119_box021_029_p2_corridor_ref_pose_bodygate	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	local-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	corridor_ref_pose_bodygate	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_upright_carry	lowerbody_aware_contact	
3	E119_box021_029_p2_corridor_surface_pose_bodyguard	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	local-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	corridor_surface_pose_bodyguard	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_upright_carry	lowerbody_aware_contact	
4	E119_box021_035_p2_corridor_ref_pose_bodyguard	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu0	box021_035_p2	d003_box021_20231011_035_p2	box021	corridor_ref_pose_bodyguard	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
5	E119_box021_035_p2_corridor_ref_pose_bodygate	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu0	box021_035_p2	d003_box021_20231011_035_p2	box021	corridor_ref_pose_bodygate	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
6	E119_box021_035_p2_corridor_surface_pose_bodyguard	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu0	box021_035_p2	d003_box021_20231011_035_p2	box021	corridor_surface_pose_bodyguard	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
7	E119_box021_035_p1_corridor_ref_pose_bodyguard	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	corridor_ref_pose_bodyguard	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
8	E119_box021_035_p1_corridor_ref_pose_bodygate	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	corridor_ref_pose_bodygate	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
9	E119_box021_035_p1_corridor_surface_pose_bodyguard	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	corridor_surface_pose_bodyguard	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
