variant,case,frame,eval_time_s,npz_time_s,opt_step,obj_err_m,pelvis_err_m,pelvis_z_qpos_m,sim_pelvis_z_m,ref_pelvis_z_m,sim_left_sdf_m,sim_right_sdf_m,sim_min_hand_sdf_m,ref_left_sdf_m,ref_right_sdf_m,ref_min_hand_sdf_m,sim_left_contact_count,sim_right_contact_count,sim_total_contact_count,ref_left_contact_count,ref_right_contact_count,ref_total_contact_count,sim_left_foot_z_m,sim_right_foot_z_m,sim_right_foot_xy_step_m,ref_right_foot_xy_step_m,right_hip_pitch_ctrl_diff,robot_ctrl_linf,robot_ctrl_l2,object_ctrl_linf,object_ctrl_l2,qpos_max_abs_diff_vs_ref,qvel_max_abs
E080_box025_p1,box025_person1,0,0.0,0.0166667,0,0.026743847870871654,0.008175015449523926,0.811830461025238,0.811830461025238,0.820005476474762,0.5864274926922397,0.10424772916075792,0.10424772916075792,0.621657484892791,0.10312308009371723,0.10312308009371723,0,0,0,0,0,0,0.018644862573333462,0.010653880132867027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02672518923645839,0.8104616403579712
E080_box025_p1,box025_person1,1,0.02,0.0333334,0,0.03768623061745906,0.009623657001326497,0.8104920387268066,0.8104920387268066,0.8199403285980225,0.5717761468689267,0.10676147443328127,0.10676147443328127,0.6214691103685787,0.10275539217091406,0.10275539217091406,0,0,0,0,0,0,0.017660716079086605,0.00966063884256204,0.0012641351888044957,0.00040222204839672173,0.0,0.0,0.0,0.0,0.0,0.037656334636267275,0.6560410261154175
E080_box025_p1,box025_person1,2,0.04,0.0500001,0,0.045934905643894956,0.010693836916575682,0.8099985122680664,0.8099985122680664,0.8198751211166382,0.560669661971195,0.1096500510160851,0.1096500510160851,0.6212804932791463,0.10238751186629719,0.10238751186629719,0,0,0,0,0,0,0.01750855134467421,0.009626790074866207,0.00015509723248140032,0.00040216949945087927,0.0,0.0,0.0,0.0,0.0,0.045894240436609834,0.4944450259208679
E080_box025_p1,box025_person1,3,0.06,0.0666668,0,0.05198810605476876,0.011766419315206469,0.8096323013305664,0.8096323013305664,0.8198689818382263,0.5522345449254418,0.11256814554671629,0.11256814554671629,0.6218140978637821,0.10275790900619036,0.10275790900619036,0,0,0,0,0,0,0.017435602907479697,0.00969254571975376,0.0001791491929441489,0.0003482425529881912,0.0,0.0,0.0,0.0,0.0,0.051938654331024736,0.41718238592147827
E080_box025_p1,box025_person1,4,0.08,0.0833335,0,0.05638229902794263,0.013083882962200906,0.8092440366744995,0.8092440366744995,0.8198632597923279,0.5458732544688614,0.11542040311610552,0.11542040311610552,0.6223453562419662,0.10313417375356176,0.10313417375356176,0,0,0,0,0,0,0.01729843655041463,0.009686767910525362,0.00019166966690787495,0.0003538563527583231,0.0,0.0,0.0,0.0,0.0,0.056326234189327806,0.34816688299179077
E080_box025_p1,box025_person1,5,0.1,0.10000020000000001,0,0.05957027085838129,0.014765136424548216,0.8088021874427795,0.8088021874427795,0.8197429776191711,0.5411632899263422,0.11821338874377435,0.11821338874377435,0.6228667732241001,0.10343154764942925,0.10343154764942925,0,0,0,0,0,0,0.01708458330663308,0.00958369627884742,0.00016321647017198621,0.0003880622249172926,0.0,0.0,0.0,0.0,0.0,0.05950799718266353,0.2821730077266693
E080_box025_p1,box025_person1,6,0.12,0.11666690000000002,0,0.06187239213563699,0.016750223841570235,0.8083089590072632,0.8083089590072632,0.8196207880973816,0.5377748251112892,0.1209742772521934,0.1209742772521934,0.6233672280094434,0.10372834671879921,0.10372834671879921,0,0,0,0,0,0,0.016809300482742977,0.009398843833487353,0.00013793904863069223,0.0004006791090666738,0.0,0.0,0.0,0.0,0.0,0.06180621444946155,0.22660785913467407
E080_box025_p1,box025_person1,7,0.14,0.13333360000000002,0,0.06351708902167012,0.019100734257036664,0.807774543762207,0.807774543762207,0.8195959329605103,0.5353968572510054,0.12370836024918547,0.12370836024918547,0.6233084568534898,0.10417459697215764,0.10417459697215764,0,0,0,0,0,0,0.016489439592083904,0.009156198126296797,0.00012391998236700125,0.0003366121451660036,0.0,0.0,0.0,0.0,0.0,0.06345060229068622,0.18052944540977478
E080_box025_p1,box025_person1,8,0.16,0.15000030000000003,0,0.06469879446978502,0.021717224784732595,0.8072025179862976,0.8072025179862976,0.8195734620094299,0.5337947882698316,0.12643343164424553,0.12643343164424553,0.6232293624957549,0.1046250793234565,0.1046250793234565,0,0,0,0,0,0,0.01613555867157926,0.00886952726761664,0.00012025828566368479,0.0003527755308517528,0.0,0.0,0.0,0.0,0.0,0.06463365018134937,0.1692201942205429
E080_box025_p1,box025_person1,9,0.18,0.16666700000000004,0,0.06555165941442387,0.024883143525095387,0.8065866231918335,0.8065866231918335,0.8195618987083435,0.5327931292597199,0.12917094839233417,0.12917094839233417,0.622875869171618,0.10422594489566622,0.10422594489566622,0,0,0,0,0,0,0.01575072221355979,0.008543376447065786,0.00011501790768682697,0.0004795515117533531,0.0,0.0,0.0,0.0,0.0,0.06548917799955234,0.18239149451255798
E080_box025_p1,box025_person1,10,0.2,0.18333370000000004,0,0.06616449118611079,0.02837099909375406,0.8059245944023132,0.8059245944023132,0.8195506930351257,0.532259328958323,0.13195266170005399,0.13195266170005399,0.6224951438092475,0.10379876178200381,0.10379876178200381,0,0,0,0,0,0,0.015341750448236893,0.008184902723671436,0.00010943231088367117,0.00048756457409705707,0.0,0.0,0.0,0.0,0.0,0.06610531121259555,0.19688072800636292
E080_box025_p1,box025_person1,11,0.22,0.20000040000000005,0,0.06660662448592003,0.031116793934185396,0.8052217960357666,0.8052217960357666,0.8194778561592102,0.5320387775221765,0.13479324535030607,0.13479324535030607,0.6214856608878516,0.10424936401152679,0.10424936401152679,0,0,0,0,0,0,0.014920214011528654,0.007809477616454272,0.00010425169930196988,0.0004977560755055944,0.0,0.0,0.0,0.0,0.0,0.06655027478700504,0.2133069783449173
E080_box025_p1,box025_person1,12,0.24,0.21666710000000006,32,0.0669269867337634,0.03375495415296804,0.8045555949211121,0.8045555949211121,0.8194024562835693,0.5330344875859528,0.13632777479916752,0.13632777479916752,0.6204403541381659,0.10473590508057601,0.10473590508057601,0,0,0,0,0,0,0.01467559247374247,0.007371260611738574,0.00018640244229347505,0.0005121454627816832,0.03917735815048218,0.12419034540653229,0.17908931043437143,0.010000004171160981,0.0173205125323686,0.06687350332504138,0.4968831241130829
E080_box025_p1,box025_person1,13,0.26,0.23333380000000006,32,0.06716239786497692,0.03526042355379462,0.8036590218544006,0.8036590218544006,0.8191824555397034,0.5339766070785635,0.13693904128118456,0.13693904128118456,0.6182215806786288,0.10464510577548919,0.10464510577548919,0,0,0,0,0,0,0.014355595810700852,0.006654441847418799,0.00047506240252343976,0.0006048984200065637,0.03250773251056671,0.15190471708774567,0.18514646099929333,0.01000000603380613,0.017320514662654263,0.0671120336628519,0.820713996887207
E080_box025_p1,box025_person1,14,0.28,0.25000050000000007,32,0.06732699994070908,0.03685634952992559,0.8029032349586487,0.8029032349586487,0.81895512342453,0.5352478301195581,0.1352066912895586,0.1352066912895586,0.6158964170552808,0.10451885846797232,0.10451885846797232,0,0,0,0,0,0,0.014270511905032895,0.006141756475089792,0.001562456450498281,0.0006300033854805038,0.14005938172340393,0.2168753743171692,0.3413128611007122,0.010000004840549082,0.017320511439740227,0.08318689465522766,1.3266929388046265
