metric	direction	failed_n	failed_median	failed_p25	failed_p75	usable_n	usable_median	usable_p25	usable_p75	median_delta_failed_minus_usable	failure_auc
trackbody_jerk_p95	higher_worse	15	837.4195986119113	659.5982521373578	939.5440649912562	13	522.8792712645507	462.8365235312883	620.830383949672	314.54032734736063	0.9179487179487179
ankle_jerk_p95	higher_worse	15	1054.0724954545524	850.7524577458046	1120.0738884814232	13	653.6608261760958	617.5316816154412	774.4021723214711	400.41166927845654	0.9179487179487179
track_eef_pos_err_cm_mean	higher_worse	15	26.372162381745568	18.081882025053268	31.260512177033295	13	15.367242296466788	13.501542183602366	16.244872793534153	11.00492008527878	0.8923076923076924
qpos_frames	lower_worse	15	88.0	84.0	97.0	13	110.0	105.0	124.0	-22.0	0.882051282051282
duration_s	lower_worse	15	2.933333333333333	2.8	3.2333333333333334	13	3.6666666666666665	3.5	4.133333333333334	-0.7333333333333334	0.882051282051282
track_eef_ori_err_deg_mean	higher_worse	15	31.57375141417883	24.95792747896843	54.99579756236819	13	19.29741198902134	14.964173877259572	20.768700741437286	12.276339425157488	0.882051282051282
ankle_acc_max	higher_worse	15	65.81411494414019	55.7780214845258	76.10879738545685	13	49.257387111938264	41.02575072982446	51.7196996240202	16.556727832201922	0.8769230769230769
track_root_pos_err_cm_mean	higher_worse	15	28.200181605785296	22.34868405085046	38.81587874878214	13	16.30456420905572	13.418034178982563	17.733984596271316	11.895617396729577	0.8717948717948718
track_root_ori_err_deg_mean	higher_worse	15	19.539315481123165	13.166531312543256	50.467127226386175	13	8.742782470105869	8.219417297908587	12.761016885458748	10.796533011017296	0.8615384615384616
leg_penetration_frac	higher_worse	15	0.3776223776223776	0.24057610241820768	0.42475484033190847	13	0.047619047619047616	0.018691588785046728	0.17307692307692307	0.33000333000333	0.8564102564102564
obj_speed_max	higher_worse	15	2.0492903124334236	1.7447719399170603	2.3703043540758064	13	1.3612498977501533	1.1898330915676574	1.4340739047567481	0.6880404146832704	0.8512820512820513
track_obj_pos_err_cm_mean	higher_worse	15	15.927069852441672	14.137009655592749	18.83315278118328	13	12.335234608649563	11.58683983206241	14.253216588287287	3.5918352437921097	0.8051282051282052
hand_object_physics_contact_in_mask_frac	lower_worse	15	0.6212121212121212	0.47333333333333333	0.7663934426229508	13	0.8135593220338984	0.6818181818181818	0.8907563025210085	-0.19234720082177714	0.8
body_z_err_peak_m	higher_worse	15	0.2560712389613284	0.2246295093357436	0.2788881917221999	13	0.2034852218169116	0.18160831911344955	0.21442184842314016	0.0525860171444168	0.7948717948717948
body_z_err_p95_m	higher_worse	15	0.16568808249267775	0.13923677081745653	0.2016041714922116	13	0.12336606277828552	0.09014553065035147	0.15499551019513766	0.04232201971439223	0.7589743589743589
trackbody_speed_max	higher_worse	15	4.24555713470844	3.64629111459232	4.913871602164367	13	3.7118476828655114	3.372877785546283	4.293138131929965	0.5337094518429284	0.6923076923076923
hand_object_physics_contact_3mm_in_mask_frac	lower_worse	15	0.391304347826087	0.3136363636363636	0.48082706766917294	13	0.46153846153846156	0.352	0.5961538461538461	-0.07023411371237459	0.6256410256410256
hand_geom_penetration_2mm_frac	higher_worse	15	0.10227272727272728	0.05418228678537956	0.17923568730020345	13	0.06481481481481481	0.04672897196261682	0.10256410256410256	0.03745791245791247	0.6
track_obj_ori_err_deg_mean	higher_worse	15	5.434645553342632	4.772851314746612	7.081353171280016	13	5.743621235386867	5.119333256424422	6.674258833156551	-0.30897568204423553	0.46153846153846156
foot_slip_max_m	higher_worse	15	0.6603822445382876	0.4699395762049843	0.8543506971225718	13	0.9190014296400452	0.6118425538313556	1.509254572402182	-0.2586191851017575	0.3282051282051282
hand_object_physics_penetration_3mm_frame_frac	higher_worse	15	0.1267605633802817	0.05562200956937799	0.20284201727500697	13	0.20833333333333334	0.13953488372093023	0.28	-0.08157276995305165	0.28205128205128205
