# E096b variants generated by build_mask_on_cem_tasks.py
# route	case_id	variant	source_task	derived_task	person_idx	split	object	role	note	ready	blocker
cem_ref_fk	box004_083_p1	E096bP1_box004_083_p1_mask_cem	e091_box004_20231003_2_083_p1	e091_box004_20231003_2_083_p1_e096b_mask_cem	0	local	box004	E096b_P1_mask_on	E096b mask-on full CEM; mask=workspace/core4d/results/E096b/contact_masks/e091_box004_20231003_2_083_p1/raw_contact_mask_3cm.npz	True	none
cem_ref_fk	box004_082_p1	E096bP2_box004_082_p1_mask_cem	e091_box004_20231003_2_082_p1	e091_box004_20231003_2_082_p1_e096b_mask_cem	0	remote-gpu0	box004	E096b_P2_mask_on	E096b mask-on full CEM; mask=workspace/core4d/results/E096b/contact_masks/e091_box004_20231003_2_082_p1/raw_contact_mask_3cm.npz	True	none
