# variant	source_manifest	source_variant	case_slug	queue	role	wave	hold_contact_rew_scale	contact_hdmi_gain	contact_hdmi_sigma	contact_hdmi_ori_weight	contact_hdmi_ori_mode	robot_object_penalty_scale	robot_object_penalty_margin_m	robot_object_penalty_deep_threshold_m	leg_object_penalty_scale	leg_object_penalty_margin_m	leg_object_penalty_geom_names	robot_object_barrier_scale	robot_object_barrier_margin_m	robot_object_barrier_power	robot_object_barrier_normalize_by_margin	robot_object_score_cap_scale	robot_object_score_cap_threshold_m	contact_penetration_gate_enabled	contact_penetration_gate_margin_m	contact_penetration_gate_hold_contact	penetration_staged_contact_enabled	penetration_staged_contact_start_time_s	stability_penalty_scale	stability_penalty_threshold	local_frame_root_sigma	notes
E028_bucket007_p1_barrier_quad_m02	E025	E025_bucket007_p1_penalty_s4_hc1	bucket007_p1	local	penetration_barrier	A	1.0	5.0	0.30	0.0	multiply	0.0	0.0	0.02	0.0	0.02		8.0	0.02	2.0	true	0.0	-0.01	false	0.0	true	false	1.2	0.0	0.55	0.5	Barrier-only direct follow-up to E025 strongest positive case
E028_bucket005_s2_p2_barrier_quad_m02	E025	E025_bucket005_s2_p2_penalty_s4_hc1	bucket005_s2_p2	remote_gpu0	penetration_barrier	A	1.0	5.0	0.30	0.0	multiply	0.0	0.0	0.02	0.0	0.02		8.0	0.02	2.0	true	0.0	-0.01	false	0.0	true	false	1.2	0.0	0.55	0.5	Barrier-only direct follow-up to E025 scale-4 partial improvement
E028_bucket005_s2_p1_contact_gate_m02	E018b	E018b_bucket005_s2_p1_canonical_t02	bucket005_s2_p1	remote_gpu1	contact_gate	A	1.0	5.0	0.30	0.0	multiply	0.0	0.0	0.02	0.0	0.02		8.0	0.02	2.0	true	0.0	-0.01	true	0.0	true	false	1.2	0.0	0.55	0.5	Remove positive contact reward when hand/object SDF is negative
E028_bucket001_p2_contact_gate_m02	E024	E024_bucket001_p2_root025_gain2_stab_t065	bucket001_p2	remote_gpu0	contact_gate	A	1.0	2.0	0.30	0.0	multiply	0.0	0.0	0.02	0.0	0.02		8.0	0.02	2.0	true	0.0	-0.01	true	0.0	true	false	1.2	1.0	0.65	0.25	Preserve E024 stability fallback while gating penetration contact
E028_bucket007_p1_scorecap_m01	E025	E025_bucket007_p1_penalty_s4_hc1	bucket007_p1	remote_gpu1	score_cap	B	1.0	5.0	0.30	0.0	multiply	0.0	0.0	0.02	0.0	0.02		4.0	0.02	2.0	true	20.0	-0.01	false	0.0	true	false	1.2	0.0	0.55	0.5	Frame-level score cap when min hand/object SDF is below -1cm
E028_box025_p2_guard_barrier_m02	E018b	E018b_box025_p2_canonical_t02	box025_p2	local_after_main	guard	A	0.0	0.0	0.30	0.0	multiply	0.0	0.0	0.02	0.0	0.02		8.0	0.02	2.0	true	0.0	-0.01	false	0.0	true	false	1.2	0.0	0.55	0.5	Strict-pass guard; barrier should not regress clean contact
