T_spider,active_dist_max_m,active_dist_mean_m,any_active_pct,high_quality_proxy,left_active_pct,left_dist_mean_m,mask_path,right_active_pct,right_dist_mean_m,role,split,status,task,trim_start,variant
88,0.02859024703502655,0.0059877256862819195,68.18181818181817,True,61.36363636363637,0.14132580161094666,workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz,68.18181818181817,0.1250477284193039,main,local,ok,box021_person1,84,E079_box021_p1
136,0.029983654618263245,0.01484586764127016,46.32352941176471,True,46.32352941176471,0.30671781301498413,workspace/core4d/results/E079/contact_masks/box023_person1/raw_contact_mask_3cm.npz,44.85294117647059,0.2560139000415802,guard,local,ok,box023_person1,42,E079_box023_p1
107,0.026354875415563583,0.0010828680824488401,57.009345794392516,True,57.009345794392516,0.23558759689331055,workspace/core4d/results/E079/contact_masks/bucket001_person1/raw_contact_mask_3cm.npz,0.0,0.5346301794052124,main,local,ok,bucket001_person1,47,E079_bucket001_p1
148,0.025576652958989143,0.007459327578544617,64.1891891891892,True,62.16216216216216,0.16943681240081787,workspace/core4d/results/E079/contact_masks/bucket005_s2_person1/raw_contact_mask_3cm.npz,64.1891891891892,0.13082432746887207,main,local,ok,bucket005_s2_person1,45,E079_bucket005_s2_p1
121,0.021678108721971512,0.002255538711324334,57.02479338842975,True,54.54545454545454,0.23907455801963806,workspace/core4d/results/E079/contact_masks/bucket007_person1/raw_contact_mask_3cm.npz,57.02479338842975,0.1423969715833664,main,local,ok,bucket007_person1,0,E079_bucket007_p1
134,0.02886304073035717,0.0023314645513892174,55.970149253731336,True,54.47761194029851,0.1525457352399826,workspace/core4d/results/E079/contact_masks/desk021_person1/raw_contact_mask_3cm.npz,46.26865671641791,0.13783328235149384,main,local,ok,desk021_person1,48,E079_desk021_p1
75,0.02612997777760029,0.0028357410337775946,80.0,True,80.0,0.07878764718770981,workspace/core4d/results/E079/contact_masks/box021_person2/raw_contact_mask_3cm.npz,74.66666666666667,0.07729299366474152,main,remote,ok,box021_person2,97,E079_box021_p2
136,0.027797434478998184,0.0018298430368304253,47.794117647058826,True,44.85294117647059,0.3244595527648926,workspace/core4d/results/E079/contact_masks/box023_person2/raw_contact_mask_3cm.npz,47.794117647058826,0.28235456347465515,main,remote,ok,box023_person2,42,E079_box023_p2
122,0.026019586250185966,0.0010809974046424031,72.95081967213115,True,0.0,0.48584362864494324,workspace/core4d/results/E079/contact_masks/bucket001_person2/raw_contact_mask_3cm.npz,72.95081967213115,0.10248690843582153,main,remote,ok,bucket001_person2,32,E079_bucket001_p2
148,0.02996852435171604,0.0017138461116701365,62.16216216216216,True,62.16216216216216,0.21169178187847137,workspace/core4d/results/E079/contact_masks/bucket005_s2_person2/raw_contact_mask_3cm.npz,60.810810810810814,0.1536683291196823,main,remote,ok,bucket005_s2_person2,45,E079_bucket005_s2_p2
95,0.02759740501642227,0.005537841003388166,74.73684210526315,True,72.63157894736842,0.0478363037109375,workspace/core4d/results/E079/contact_masks/bucket007_person2/raw_contact_mask_3cm.npz,74.73684210526315,0.0412784218788147,main,remote,ok,bucket007_person2,26,E079_bucket007_p2
