case_id,object,role,spider_variant,spider_status,spider_pelvis_min_m,spider_obj_mean_m,spider_contact_frac,spider_head_pen_frac,spider_upper_pen_frac,spider_lh_floor_frac,spider_rh_floor_frac,omni_variant,omni_status,omni_pelvis_min_m,omni_obj_mean_m,omni_contact_frac,omni_head_pen_frac,omni_upper_pen_frac,omni_lh_floor_frac,omni_rh_floor_frac,route_delta_summary,decision
C1,box004,positive_seed,E092D1_box004_083_p2_dyn,FAIL,0.074,0.006,0.038,0.000,0.000,0.000,0.010,E092O1_box004_083_p2_omni,FAIL,0.073,0.006,0.038,0.000,0.000,0.000,0.010,no meaningful route difference; both collapse,skip_full_and_main
C2,Box026,low_support_near_pass,E092D2_box026_039_p2_dyn,FAIL,0.191,0.008,0.585,0.000,0.000,0.000,0.000,E092O2_box026_039_p2_omni,FAIL,0.135,0.008,0.577,0.000,0.000,0.000,0.000,rl_from_omni has lower pelvis; both fail posture,skip_full_and_main
C3,Box026,inside_risk_near_pass,E092D3_box026_135_p2_dyn,FAIL,0.186,0.006,0.695,0.000,0.000,0.000,0.390,E092O3_box026_135_p2_omni,FAIL,0.189,0.006,0.695,0.000,0.000,0.000,0.402,no meaningful route difference; both collapse with right-hand floor shortcut,skip_full_and_main
