gate_id	metric	metric_label	spider_field	direction	operator	threshold	omni_p05	omni_p50	omni_p95	headroom_rule	calibration_population	gate_version
omni_wide_contact_3mm_in_mask	contact_3mm_in_mask	3mm in-mask 接触	hand_object_physics_contact_3mm_in_mask_frac	higher	relative_ge	0.1	0	0.05737704918	0.5264679583	candidate >= Omni case value − 0.10	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
omni_wide_raw_contact_in_mask	raw_contact_in_mask	Raw in-mask 接触	hand_object_physics_contact_in_mask_frac	higher	relative_ge	0.1	0.5155244755	1	1	candidate >= Omni case value − 0.10	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
omni_wide_hand_object_penetration_3mm	hand_object_penetration_3mm	手物穿透 >3mm	hand_object_physics_penetration_3mm_frame_frac	lower	relative_le	0.1	0.1943623756	0.5833333333	0.8003283673	candidate <= Omni case value + 0.10	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
omni_wide_lower_body_penetration	lower_body_penetration	Lower-body 穿透	leg_penetration_frac	lower	relative_le	0.1	0	0.009090909091	0.349438467	candidate <= Omni case value + 0.10	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
omni_wide_foot_slip_max_m	foot_slip_max_m	Foot slip max	foot_slip_max_m	lower	relative_le_multiplier	1.5	0.6608152696	1.194914757	1.943713962	candidate <= Omni case value × 1.50	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
omni_wide_obj_speed_max	obj_speed_max	Object speed max	obj_speed_max	lower	relative_le_multiplier	1.5	1.39494498	2.819878374	5.584415339	candidate <= Omni case value × 1.50	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
omni_wide_ankle_jerk_p95	ankle_jerk_p95	Ankle jerk P95	ankle_jerk_p95	lower	relative_le_multiplier	1.5	1189.31816	1572.909304	4114.874679	candidate <= Omni case value × 1.50	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-wide-v1
