case_id	object_key	source_exp	retarget_variant_id	qpos_frames	euler_convention	roundtrip_position_error_cm_max	roundtrip_orientation_error_deg_max	omnirt_contact_3mm_in_mask	prg_contact_3mm_in_mask	delta_prg_minus_omnirt_contact_3mm_in_mask	improvement_contact_3mm_in_mask	omnirt_raw_contact_in_mask	prg_raw_contact_in_mask	delta_prg_minus_omnirt_raw_contact_in_mask	improvement_raw_contact_in_mask	omnirt_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	delta_prg_minus_omnirt_hand_object_penetration_3mm	improvement_hand_object_penetration_3mm	omnirt_lower_body_penetration	prg_lower_body_penetration	delta_prg_minus_omnirt_lower_body_penetration	improvement_lower_body_penetration	omnirt_foot_slip_max_m	prg_foot_slip_max_m	delta_prg_minus_omnirt_foot_slip_max_m	improvement_foot_slip_max_m	omnirt_obj_speed_max	prg_obj_speed_max	delta_prg_minus_omnirt_obj_speed_max	improvement_obj_speed_max	omnirt_ankle_jerk_p95	prg_ankle_jerk_p95	delta_prg_minus_omnirt_ankle_jerk_p95	improvement_ankle_jerk_p95
box001_20231003_2_038_p1	box001	E173	omnirt_v1	109	XZY	4.871083752e-14	1.707547293e-06	0.06557377049	0.5409836066	0.4754098361	0.4754098361	1	0.7540983607	-0.2459016393	-0.2459016393	0.5321100917	0.119266055	-0.4128440367	0.4128440367	0.119266055	0	-0.119266055	0.119266055	0.7660987293	0.815605576	0.0495068467	-0.0495068467	1.182332687	0.9044794109	-0.2778532761	0.2778532761	1236.494962	612.3372145	-624.1577475	624.1577475
box001_20231003_2_038_p2	box001	E173	omnirt_v1	110	XZY	5.266250203e-14	2.414836539e-06	0.03389830508	0.3728813559	0.3389830508	0.3389830508	1	0.8474576271	-0.1525423729	-0.1525423729	0.5727272727	0.2727272727	-0.3	0.3	0	0	0	-0	0.8282033028	0.8150237816	-0.0131795212	0.0131795212	1.189853529	0.9270266548	-0.2628268742	0.2628268742	1454.974929	600.1779427	-854.7969863	854.7969863
box001_20231003_2_039_p1	box001	E173	omnirt_v2	100	XZY	2.543840524e-14	2.414836539e-06	0	0.619047619	0.619047619	0.619047619	1	0.9841269841	-0.0158730159	-0.0158730159	0.67	0.26	-0.41	0.41	0.01	0	-0.01	0.01	0.6599132234	0.6609560715	0.0010428481	-0.0010428481	2.644874468	0.8578939035	-1.786980564	1.786980564	1207.223436	284.1337667	-923.0896693	923.0896693
box001_20231003_2_041_p1	box001	E173	omnirt_v1	157	XZY	6.690187733e-14	2.414836539e-06	0	0.811023622	0.811023622	0.811023622	0.9921259843	0.8976377953	-0.094488189	-0.094488189	0.8598726115	0.07643312102	-0.7834394905	0.7834394905	0	0	0	-0	1.524256643	1.471506716	-0.052749927	0.052749927	2.231432483	0.7924944598	-1.438938023	1.438938023	1246.240048	537.1482072	-709.0918408	709.0918408
box001_20231020_010_p1	box001	E173	omnirt_v1	99	XZY	7.108895958e-14	2.414836539e-06	0	0.625	0.625	0.625	1	0.75	-0.25	-0.25	0.6767676768	0.08080808081	-0.595959596	0.595959596	0	0.1313131313	0.1313131313	-0.1313131313	0.7525984239	0.5236729153	-0.2289255086	0.2289255086	2.185485239	1.727970291	-0.457514948	0.457514948	1566.953428	642.4194494	-924.5339786	924.5339786
box001_20231020_011_p1	box001	E173	omnirt_v1	102	ZYX	3.682193206e-14	2.414836539e-06	0	0.34375	0.34375	0.34375	1	0.921875	-0.078125	-0.078125	0.6470588235	0.3725490196	-0.2745098039	0.2745098039	0	0	0	-0	0.7823335826	0.4996458111	-0.2826877715	0.2826877715	1.665779988	1.312395786	-0.353384202	0.353384202	1518.180079	448.7037133	-1069.476366	1069.476366
box001_20231020_011_p2	box001	E173	omnirt_v1	144	ZYX	3.59753377e-14	2.414836539e-06	0	0.4925373134	0.4925373134	0.4925373134	1	0.552238806	-0.447761194	-0.447761194	0.8819444444	0.1875	-0.6944444444	0.6944444444	0.375	0.3541666667	-0.0208333333	0.0208333333	1.046489235	1.120311252	0.073822017	-0.073822017	1.520336212	1.272979874	-0.247356338	0.247356338	1504.231037	584.9768274	-919.2542096	919.2542096
box001_20231020_014_p1	box001	E173	omnirt_v1	115	XZY	4.871083752e-14	1.707547293e-06	0	0.4605263158	0.4605263158	0.4605263158	1	0.8947368421	-0.1052631579	-0.1052631579	0.6695652174	0.2869565217	-0.3826086957	0.3826086957	0.3913043478	0.3739130435	-0.0173913043	0.0173913043	0.9913845033	0.5892799699	-0.4021045334	0.4021045334	2.136516855	1.406382482	-0.730134373	0.730134373	1478.182583	643.0978554	-835.0847276	835.0847276
box001_20231020_014_p2	box001	E173	omnirt_v2	117	XZY	9.694605783e-14	1.707547293e-06	0.0125	0.6875	0.675	0.675	1	0.725	-0.275	-0.275	0.7264957265	0.02564102564	-0.7008547009	0.7008547009	0.4700854701	0.1538461538	-0.3162393163	0.3162393163	1.217638886	0.9388504594	-0.2787884266	0.2787884266	1.949971594	1.175985775	-0.773985819	0.773985819	1504.586911	495.9855618	-1008.601349	1008.601349
box001_20231023_107_p1	box001	E173	omnirt_v1	102	XZY	4.679511029e-14	1.707547293e-06	0.05194805195	0.5324675325	0.4805194805	0.4805194805	1	0.7922077922	-0.2077922078	-0.2077922078	0.7352941176	0.1960784314	-0.5392156862	0.5392156862	0.2647058824	0.2450980392	-0.0196078432	0.0196078432	1.479357394	1.369061746	-0.110295648	0.110295648	1.575791841	1.452247148	-0.123544693	0.123544693	1380.20302	791.7962735	-588.4067465	588.4067465
box001_20231023_107_p2	box001	E173	omnirt_v1	97	XZY	5.034405433e-14	2.414836539e-06	0.02777777778	0.6111111111	0.5833333333	0.5833333333	0.9444444444	0.9305555556	-0.0138888888	-0.0138888888	0.6804123711	0.2886597938	-0.3917525773	0.3917525773	0.03092783505	0.01030927835	-0.0206185567	0.0206185567	1.384294995	0.5346895252	-0.8496054698	0.8496054698	1.582580071	1.250414084	-0.332165987	0.332165987	1436.049229	601.7822124	-834.2670166	834.2670166
box001_20231023_108_p1	box001	E173	omnirt_v2	119	XZY	5.900916318e-14	2.414836539e-06	0.02380952381	0.4404761905	0.4166666667	0.4166666667	0.9761904762	0.8928571429	-0.0833333333	-0.0833333333	0.6722689076	0.3193277311	-0.3529411765	0.3529411765	0.1092436975	0	-0.1092436975	0.1092436975	1.053914779	0.6370532466	-0.4168615324	0.4168615324	1.41916431	0.9285646748	-0.4905996352	0.4905996352	1250.55414	511.6510918	-738.9030482	738.9030482
box001_20231023_108_p2	box001	E173	omnirt_v1	107	XZY	2.543840524e-14	2.414836539e-06	0.01219512195	0.6707317073	0.6585365853	0.6585365853	0.3048780488	0.7195121951	0.4146341463	0.4146341463	0.2336448598	0.03738317757	-0.1962616822	0.1962616822	0.3551401869	0.1121495327	-0.2429906542	0.2429906542	1.194914757	1.20413247	0.009217713	-0.009217713	1.425279043	1.353502124	-0.071776919	0.071776919	1370.56884	534.667897	-835.900943	835.900943
box001_20231023_109_p1	box001	E173	omnirt_v2	110	ZYX	2.347203303e-14	2.414836539e-06	0.01408450704	0.4225352113	0.4084507043	0.4084507043	1	0.9014084507	-0.0985915493	-0.0985915493	0.6818181818	0.3090909091	-0.3727272727	0.3727272727	0.4272727273	0	-0.4272727273	0.4272727273	0.9777754447	1.000519835	0.0227443903	-0.0227443903	1.502492638	1.130519755	-0.371972883	0.371972883	1628.027093	668.0989367	-959.9281563	959.9281563
