gate_id	metric	metric_label	spider_field	direction	operator	threshold	omni_p05	omni_p50	omni_p95	headroom_rule	calibration_population	gate_version	candidate_arm	object_scope
omni_absolute_wide_contact_3mm_in_mask	contact_3mm_in_mask	3mm in-mask 接触	hand_object_physics_contact_3mm_in_mask_frac	higher	ge	0.01	0	0.05737704918	0.5264679583	OmniRetarget ≥ 0.01	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	all boxes
omni_absolute_wide_contact_3mm_in_mask_box024	contact_3mm_in_mask	3mm in-mask 接触	hand_object_physics_contact_3mm_in_mask_frac	higher	ge	0	0	0	0.006	OmniRetarget ≥ 0 (box024)	9 Full-CEM OmniRetarget references from box024	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	box024
omni_absolute_wide_raw_contact_in_mask	raw_contact_in_mask	Raw in-mask 接触	hand_object_physics_contact_in_mask_frac	higher	ge	0.5	0.5155244755	1	1	OmniRetarget ≥ 0.5	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	all boxes
omni_absolute_wide_hand_object_penetration_3mm	hand_object_penetration_3mm	手物穿透 >3mm	hand_object_physics_penetration_3mm_frame_frac	lower	le	0.8	0.1943623756	0.5833333333	0.8003283673	OmniRetarget ≤ 0.8	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	all boxes
omni_absolute_wide_lower_body_penetration	lower_body_penetration	Lower-body 穿透	leg_penetration_frac	lower	le	0.3	0	0.009090909091	0.349438467	OmniRetarget ≤ 0.3	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	all boxes
omni_absolute_wide_foot_slip_max_m	foot_slip_max_m	Foot slip max	foot_slip_max_m	lower	le	1.9	0.6608152696	1.194914757	1.943713962	OmniRetarget ≤ 1.9	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	all boxes
omni_absolute_wide_ankle_jerk_p95	ankle_jerk_p95	Ankle jerk P95	ankle_jerk_p95	lower	le	4000	1189.31816	1572.909304	4114.874679	OmniRetarget ≤ 4000	87 Full-CEM OmniRetarget references pooled across five boxes	E197-omni-absolute-wide-v4	OmniRetarget only; PRG excluded from decision	all boxes
