case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_omni_absolute_wide_contact_3mm_in_mask	omnirt_omni_absolute_wide_contact_3mm_in_mask	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask	threshold_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask_box024	threshold_omni_absolute_wide_raw_contact_in_mask	omnirt_omni_absolute_wide_raw_contact_in_mask	omnirt_gate_pass_omni_absolute_wide_raw_contact_in_mask	threshold_omni_absolute_wide_hand_object_penetration_3mm	omnirt_omni_absolute_wide_hand_object_penetration_3mm	omnirt_gate_pass_omni_absolute_wide_hand_object_penetration_3mm	threshold_omni_absolute_wide_lower_body_penetration	omnirt_omni_absolute_wide_lower_body_penetration	omnirt_gate_pass_omni_absolute_wide_lower_body_penetration	threshold_omni_absolute_wide_foot_slip_max_m	omnirt_omni_absolute_wide_foot_slip_max_m	omnirt_gate_pass_omni_absolute_wide_foot_slip_max_m	threshold_omni_absolute_wide_ankle_jerk_p95	omnirt_omni_absolute_wide_ankle_jerk_p95	omnirt_gate_pass_omni_absolute_wide_ankle_jerk_p95	omnirt_wide_gate_pass	omnirt_failure_modes	rl_filter_decision	rl_export_authority
box001_20231003_2_038_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.06557377049	true				0.5	1	true	0.8	0.5321100917	true	0.3	0.119266055	true	1.9	0.7660987293	true	4000	1236.494962	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_038_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.03389830508	true				0.5	1	true	0.8	0.5727272727	true	0.3	0	true	1.9	0.8282033028	true	4000	1454.974929	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_039_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.67	true	0.3	0.01	true	1.9	0.6599132234	true	4000	1207.223436	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_041_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	0.9921259843	true	0.8	0.8598726115	false	0.3	0	true	1.9	1.524256643	true	4000	1246.240048	true	false	omni_absolute_wide_contact_3mm_in_mask;omni_absolute_wide_hand_object_penetration_3mm	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_010_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.6767676768	true	0.3	0	true	1.9	0.7525984239	true	4000	1566.953428	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_011_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.6470588235	true	0.3	0	true	1.9	0.7823335826	true	4000	1518.180079	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_011_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.8819444444	false	0.3	0.375	false	1.9	1.046489235	true	4000	1504.231037	true	false	omni_absolute_wide_contact_3mm_in_mask;omni_absolute_wide_hand_object_penetration_3mm;omni_absolute_wide_lower_body_penetration	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_014_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.6695652174	true	0.3	0.3913043478	false	1.9	0.9913845033	true	4000	1478.182583	true	false	omni_absolute_wide_contact_3mm_in_mask;omni_absolute_wide_lower_body_penetration	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_014_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.0125	true				0.5	1	true	0.8	0.7264957265	true	0.3	0.4700854701	false	1.9	1.217638886	true	4000	1504.586911	true	false	omni_absolute_wide_lower_body_penetration	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_107_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.05194805195	true				0.5	1	true	0.8	0.7352941176	true	0.3	0.2647058824	true	1.9	1.479357394	true	4000	1380.20302	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
