case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_contact_3mm_in_mask	relative_threshold_contact_3mm_in_mask	omnirt_contact_3mm_in_mask	omnirt_gate_pass_contact_3mm_in_mask	prg_contact_3mm_in_mask	prg_gate_pass_contact_3mm_in_mask	threshold_raw_contact_in_mask	relative_threshold_raw_contact_in_mask	omnirt_raw_contact_in_mask	omnirt_gate_pass_raw_contact_in_mask	prg_raw_contact_in_mask	prg_gate_pass_raw_contact_in_mask	threshold_hand_object_penetration_3mm	relative_threshold_hand_object_penetration_3mm	omnirt_hand_object_penetration_3mm	omnirt_gate_pass_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	prg_gate_pass_hand_object_penetration_3mm	threshold_lower_body_penetration	relative_threshold_lower_body_penetration	omnirt_lower_body_penetration	omnirt_gate_pass_lower_body_penetration	prg_lower_body_penetration	prg_gate_pass_lower_body_penetration	threshold_foot_slip_max_m	relative_threshold_foot_slip_max_m	omnirt_foot_slip_max_m	omnirt_gate_pass_foot_slip_max_m	prg_foot_slip_max_m	prg_gate_pass_foot_slip_max_m	threshold_obj_speed_max	relative_threshold_obj_speed_max	omnirt_obj_speed_max	omnirt_gate_pass_obj_speed_max	prg_obj_speed_max	prg_gate_pass_obj_speed_max	threshold_ankle_jerk_p95	relative_threshold_ankle_jerk_p95	omnirt_ankle_jerk_p95	omnirt_gate_pass_ankle_jerk_p95	prg_ankle_jerk_p95	prg_gate_pass_ankle_jerk_p95	prg_absolute_gate_pass_hand_object_physics_contact_in_mask_frac	prg_absolute_gate_pass_hand_object_physics_penetration_3mm_frame_frac	prg_absolute_gate_pass_leg_penetration_frac	prg_absolute_failure_modes	omnirt_wide_gate_pass	omnirt_failure_modes	prg_wide_gate_pass	prg_failure_modes	rl_filter_decision	rl_export_authority
box001_20231003_2_037_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.08850574713	0.01149425287	true	0.5172413793	true	0.1	0.9	1	true	0.8390804598	false	0.1	0.8913043478	0.7913043478	true	0.2434782609	true	0.1	0.1956521739	0.09565217391	true	0.3826086957	false	1.5	2.145499308	1.430332872	true	1.354948086	true	1.5	4.256709978	2.837806652	true	1.540722589	true	1.5	2142.908948	1428.605965	true	1009.355319	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;lower_body_penetration;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_038_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.03442622951	0.06557377049	true	0.5409836066	true	0.1	0.9	1	true	0.7540983607	false	0.1	0.6321100917	0.5321100917	true	0.119266055	true	0.1	0.219266055	0.119266055	true	0	true	1.5	1.149148094	0.7660987293	true	0.815605576	true	1.5	1.773499031	1.182332687	true	0.9044794109	true	1.5	1854.742443	1236.494962	true	612.3372145	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_038_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.06610169492	0.03389830508	true	0.3728813559	true	0.1	0.9	1	true	0.8474576271	false	0.1	0.6727272727	0.5727272727	true	0.2727272727	true	0.1	0.1	0	true	0	true	1.5	1.242304954	0.8282033028	true	0.8150237816	true	1.5	1.784780294	1.189853529	true	0.9270266548	true	1.5	2182.462393	1454.974929	true	600.1779427	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_039_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.619047619	true	0.1	0.9	1	true	0.9841269841	true	0.1	0.77	0.67	true	0.26	true	0.1	0.11	0.01	true	0	true	1.5	0.9898698351	0.6599132234	true	0.6609560715	true	1.5	3.967311702	2.644874468	true	0.8578939035	true	1.5	1810.835154	1207.223436	true	284.1337667	true	true	true	true		true		true		RL_CANDIDATE_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_041_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.811023622	true	0.1	0.8921259843	0.9921259843	true	0.8976377953	true	0.1	0.9598726115	0.8598726115	true	0.07643312102	true	0.1	0.1	0	true	0	true	1.5	2.286384964	1.524256643	true	1.471506716	true	1.5	3.347148724	2.231432483	true	0.7924944598	true	1.5	1869.360072	1246.240048	true	537.1482072	true	true	true	true		true		true		RL_CANDIDATE_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_010_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.625	true	0.1	0.9	1	true	0.75	false	0.1	0.7767676768	0.6767676768	true	0.08080808081	true	0.1	0.1	0	true	0.1313131313	false	1.5	1.128897636	0.7525984239	true	0.5236729153	true	1.5	3.278227859	2.185485239	true	1.727970291	true	1.5	2350.430142	1566.953428	true	642.4194494	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;lower_body_penetration;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_011_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.34375	true	0.1	0.9	1	true	0.921875	true	0.1	0.7470588235	0.6470588235	true	0.3725490196	true	0.1	0.1	0	true	0	true	1.5	1.173500374	0.7823335826	true	0.4996458111	true	1.5	2.498669982	1.665779988	true	1.312395786	true	1.5	2277.270119	1518.180079	true	448.7037133	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_011_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.4925373134	true	0.1	0.9	1	true	0.552238806	false	0.1	0.9819444444	0.8819444444	true	0.1875	true	0.1	0.475	0.375	true	0.3541666667	true	1.5	1.569733852	1.046489235	true	1.120311252	true	1.5	2.280504318	1.520336212	true	1.272979874	true	1.5	2256.346556	1504.231037	true	584.9768274	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_014_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.4605263158	true	0.1	0.9	1	true	0.8947368421	false	0.1	0.7695652174	0.6695652174	true	0.2869565217	true	0.1	0.4913043478	0.3913043478	true	0.3739130435	true	1.5	1.487076755	0.9913845033	true	0.5892799699	true	1.5	3.204775282	2.136516855	true	1.406382482	true	1.5	2217.273875	1478.182583	true	643.0978554	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231020_014_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.0875	0.0125	true	0.6875	true	0.1	0.9	1	true	0.725	false	0.1	0.8264957265	0.7264957265	true	0.02564102564	true	0.1	0.5700854701	0.4700854701	true	0.1538461538	true	1.5	1.826458329	1.217638886	true	0.9388504594	true	1.5	2.924957391	1.949971594	true	1.175985775	true	1.5	2256.880367	1504.586911	true	495.9855618	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
