case_id	object_key	method	source_exp	retarget_variant_id	metric_standard_id	qpos_frames	qpos_path	scene_xml	trajectory	contact_mask	person_idx	euler_convention	roundtrip_position_error_cm_max	roundtrip_orientation_error_deg_max	contact_3mm_in_mask	raw_contact_in_mask	hand_object_penetration_3mm	lower_body_penetration	foot_slip_max_m	obj_speed_max	ankle_jerk_p95
box001_20231003_1_041_p2	box001	OmniRetarget	E173	omnirt_v1	core4d-e154-physics-contact-v1	142	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_1_041_p2_omnirt_scene_act_qpos.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/raw_contact_mask_3cm.npz	1	ZYX	5.438959822e-14	2.414836539e-06	0.05504587156	1	0.7394366197	0	1.73663662	4.123435561	1506.672842
box001_20231003_1_041_p2	box001	PRG	E173	omnirt_v1	core4d-e154-physics-contact-v1	142	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_041_p2_PRG_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/raw_contact_mask_3cm.npz	1				0.5321100917	0.7798165138	0.1971830986	0.1126760563	1.060781118	1.358548589	592.0127376
box001_20231003_1_042_p1	box001	OmniRetarget	E173	omnirt_v1	core4d-e154-physics-contact-v1	109	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_1_042_p1_omnirt_scene_act_qpos.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/raw_contact_mask_3cm.npz	0	XZY	4.652682299e-14	2.414836539e-06	0.01515151515	1	0.623853211	0	0.5821989197	4.328086818	1181.644471
box001_20231003_1_042_p1	box001	PRG	E173	omnirt_v1	core4d-e154-physics-contact-v1	109	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_042_p1_PRG_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/raw_contact_mask_3cm.npz	0				0.5606060606	0.9393939394	0.3027522936	0	0.9343621088	0.8694193129	398.563334
box001_20231003_1_042_p2	box001	OmniRetarget	E173	omnirt_v1	core4d-e154-physics-contact-v1	122	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_1_042_p2_omnirt_scene_act_qpos.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/raw_contact_mask_3cm.npz	1	XZY	3.642754084e-14	2.414836539e-06	0	1	0.5737704918	0	0.8482788192	4.369534523	1119.690837
box001_20231003_1_042_p2	box001	PRG	E173	omnirt_v1	core4d-e154-physics-contact-v1	122	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_042_p2_PRG_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/raw_contact_mask_3cm.npz	1				0.1746031746	0.5714285714	0.2049180328	0	0.7031328883	1.064126105	673.6830931
box001_20231003_1_043_p2	box001	OmniRetarget	E173	omnirt_v1	core4d-e154-physics-contact-v1	119	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_1_043_p2_omnirt_scene_act_qpos.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/raw_contact_mask_3cm.npz	1	ZYX	3.140184917e-14	2.957558667e-06	0	1	0.6134453782	0.01680672269	1.719843097	5.695547356	1517.879482
box001_20231003_1_043_p2	box001	PRG	E173	omnirt_v1	core4d-e154-physics-contact-v1	119	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_043_p2_PRG_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/raw_contact_mask_3cm.npz	1				0.3188405797	0.6666666667	0.2268907563	0.02521008403	0.5706033693	1.871137954	1343.556156
box001_20231003_2_037_p1	box001	OmniRetarget	E173	omnirt_v1	core4d-e154-physics-contact-v1	110	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_2_037_p1_omnirt_scene_act_qpos.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/raw_contact_mask_3cm.npz	0	XZY	2.719479911e-14	1.707547293e-06	0	0.975	0.7272727273	0.009090909091	1.579058349	2.819878374	1436.138859
box001_20231003_2_037_p1	box001	PRG	E173	omnirt_v1	core4d-e154-physics-contact-v1	110	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_2_037_p1_PRG_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/scene_act_E173_rubberHull_PRG.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/0/trajectory_kinematic.npz	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/raw_contact_mask_3cm.npz	0				0.3875	0.95	0.4090909091	0	0.8843357066	1.134807261	661.3123573
