# variant	source_task	derived_task	mask_source_dir	mask_slug	person_idx	split	role
E083_d003_box021_20231018_029_p2_upperobj	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_upperobj_e083	workspace/core4d_collab_retarget/results/E029/d6/contact_masks	d003_box021_20231018_029_p2	1	local	main
E083_d003_box021_20231011_035_p2_upperobj	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_upperobj_e083	workspace/core4d_collab_retarget/results/E029/d6/contact_masks	d003_box021_20231011_035_p2	1	remote-gpu0	main
E083_d003_box021_20231020_019_p1_upperobj	d003_box021_20231020_019_p1	d003_box021_20231020_019_p1_upperobj_e083	workspace/core4d_collab_retarget/results/E029/d6/contact_masks	d003_box021_20231020_019_p1	0	remote-gpu1	main
E083_box023_p2_upperobj_guard	box023_person2	box023_person2_upperobj_e083	workspace/core4d/results/E079/contact_masks	box023_person2	1	remote-gpu1	guard
